ta: 10 non-consecutive frames, equally separated throughout video
Categories: 25
Model: Average
Batch Size: 20
Learning Rate: 0.0005
Momentum: 0.5
Weight Decay: 0.0001
training...
Train-epoch 0. Iteration 00045, Avg-Loss: 3.2694, Accuracy: 0.0556
Train-epoch 0. Iteration 00090, Avg-Loss: 3.1661, Accuracy: 0.0922
Validation-epoch 0. Iteration 00047, Avg-Loss: 2.9102, Accuracy: 0.1883
Train-epoch 1. Iteration 00045, Avg-Loss: 2.7739, Accuracy: 0.2844
Train-epoch 1. Iteration 00090, Avg-Loss: 2.6881, Accuracy: 0.3450
Validation-epoch 1. Iteration 00047, Avg-Loss: 2.5112, Accuracy: 0.3617
Train-epoch 2. Iteration 00045, Avg-Loss: 2.3377, Accuracy: 0.5322
Train-epoch 2. Iteration 00090, Avg-Loss: 2.2777, Accuracy: 0.5722
Validation-epoch 2. Iteration 00047, Avg-Loss: 2.2033, Accuracy: 0.5213
Train-epoch 3. Iteration 00045, Avg-Loss: 1.9871, Accuracy: 0.6978
Train-epoch 3. Iteration 00090, Avg-Loss: 1.9398, Accuracy: 0.7094
Validation-epoch 3. Iteration 00047, Avg-Loss: 1.8978, Accuracy: 0.6266
Train-epoch 4. Iteration 00045, Avg-Loss: 1.6953, Accuracy: 0.7844
Train-epoch 4. Iteration 00090, Avg-Loss: 1.6556, Accuracy: 0.7933
Validation-epoch 4. Iteration 00047, Avg-Loss: 1.6627, Accuracy: 0.6340
Train-epoch 5. Iteration 00045, Avg-Loss: 1.4716, Accuracy: 0.8300
Train-epoch 5. Iteration 00090, Avg-Loss: 1.4206, Accuracy: 0.8400
Validation-epoch 5. Iteration 00047, Avg-Loss: 1.5033, Accuracy: 0.7032
Train-epoch 6. Iteration 00045, Avg-Loss: 1.2515, Accuracy: 0.8667
Train-epoch 6. Iteration 00090, Avg-Loss: 1.2175, Accuracy: 0.8828
Validation-epoch 6. Iteration 00047, Avg-Loss: 1.3522, Accuracy: 0.6968
Train-epoch 7. Iteration 00045, Avg-Loss: 1.0766, Accuracy: 0.9033
Train-epoch 7. Iteration 00090, Avg-Loss: 1.0699, Accuracy: 0.9022
Validation-epoch 7. Iteration 00047, Avg-Loss: 1.2167, Accuracy: 0.7426
Train-epoch 8. Iteration 00045, Avg-Loss: 0.9549, Accuracy: 0.9389
Train-epoch 8. Iteration 00090, Avg-Loss: 0.9196, Accuracy: 0.9350
Validation-epoch 8. Iteration 00047, Avg-Loss: 1.1095, Accuracy: 0.7649
Train-epoch 9. Iteration 00045, Avg-Loss: 0.8141, Accuracy: 0.9333
Train-epoch 9. Iteration 00090, Avg-Loss: 0.8120, Accuracy: 0.9367
Validation-epoch 9. Iteration 00047, Avg-Loss: 1.0422, Accuracy: 0.7447
Train-epoch 10. Iteration 00045, Avg-Loss: 0.7446, Accuracy: 0.9422
Train-epoch 10. Iteration 00090, Avg-Loss: 0.7160, Accuracy: 0.9444
Validation-epoch 10. Iteration 00047, Avg-Loss: 0.9592, Accuracy: 0.7660
Train-epoch 11. Iteration 00045, Avg-Loss: 0.6593, Accuracy: 0.9478
Train-epoch 11. Iteration 00090, Avg-Loss: 0.6503, Accuracy: 0.9489
Validation-epoch 11. Iteration 00047, Avg-Loss: 0.9166, Accuracy: 0.7915
Train-epoch 12. Iteration 00045, Avg-Loss: 0.5916, Accuracy: 0.9467
Train-epoch 12. Iteration 00090, Avg-Loss: 0.5807, Accuracy: 0.9494
Validation-epoch 12. Iteration 00047, Avg-Loss: 0.8770, Accuracy: 0.7617
Train-epoch 13. Iteration 00045, Avg-Loss: 0.5460, Accuracy: 0.9633
Train-epoch 13. Iteration 00090, Avg-Loss: 0.5368, Accuracy: 0.9656
Validation-epoch 13. Iteration 00047, Avg-Loss: 0.8667, Accuracy: 0.7872
Train-epoch 14. Iteration 00045, Avg-Loss: 0.4792, Accuracy: 0.9756
Train-epoch 14. Iteration 00090, Avg-Loss: 0.4694, Accuracy: 0.9744
Validation-epoch 14. Iteration 00047, Avg-Loss: 0.8041, Accuracy: 0.7745
Train-epoch 15. Iteration 00045, Avg-Loss: 0.4493, Accuracy: 0.9667
Train-epoch 15. Iteration 00090, Avg-Loss: 0.4360, Accuracy: 0.9700
Validation-epoch 15. Iteration 00047, Avg-Loss: 0.7830, Accuracy: 0.8021
Train-epoch 16. Iteration 00045, Avg-Loss: 0.3969, Accuracy: 0.9733
Train-epoch 16. Iteration 00090, Avg-Loss: 0.3970, Accuracy: 0.9756
Validation-epoch 16. Iteration 00047, Avg-Loss: 0.7834, Accuracy: 0.7883
Train-epoch 17. Iteration 00045, Avg-Loss: 0.3805, Accuracy: 0.9833
Train-epoch 17. Iteration 00090, Avg-Loss: 0.3629, Accuracy: 0.9822
Validation-epoch 17. Iteration 00047, Avg-Loss: 0.7551, Accuracy: 0.7926
Train-epoch 18. Iteration 00045, Avg-Loss: 0.3368, Accuracy: 0.9811
Train-epoch 18. Iteration 00090, Avg-Loss: 0.3333, Accuracy: 0.9811
Validation-epoch 18. Iteration 00047, Avg-Loss: 0.6904, Accuracy: 0.8234
Train-epoch 19. Iteration 00045, Avg-Loss: 0.3129, Accuracy: 0.9867
Train-epoch 19. Iteration 00090, Avg-Loss: 0.3187, Accuracy: 0.9856
Validation-epoch 19. Iteration 00047, Avg-Loss: 0.7221, Accuracy: 0.7989
Train-epoch 20. Iteration 00045, Avg-Loss: 0.3057, Accuracy: 0.9800
Train-epoch 20. Iteration 00090, Avg-Loss: 0.2967, Accuracy: 0.9806
Validation-epoch 20. Iteration 00047, Avg-Loss: 0.6875, Accuracy: 0.8106
Train-epoch 21. Iteration 00045, Avg-Loss: 0.2769, Accuracy: 0.9878
Train-epoch 21. Iteration 00090, Avg-Loss: 0.2732, Accuracy: 0.9872
Validation-epoch 21. Iteration 00047, Avg-Loss: 0.6948, Accuracy: 0.7979
Train-epoch 22. Iteration 00045, Avg-Loss: 0.2488, Accuracy: 0.9911
Train-epoch 22. Iteration 00090, Avg-Loss: 0.2539, Accuracy: 0.9900
Validation-epoch 22. Iteration 00047, Avg-Loss: 0.6715, Accuracy: 0.8096
Train-epoch 23. Iteration 00045, Avg-Loss: 0.2528, Accuracy: 0.9889
Train-epoch 23. Iteration 00090, Avg-Loss: 0.2409, Accuracy: 0.9906
Validation-epoch 23. Iteration 00047, Avg-Loss: 0.6704, Accuracy: 0.8213
Train-epoch 24. Iteration 00045, Avg-Loss: 0.2100, Accuracy: 0.9900
Train-epoch 24. Iteration 00090, Avg-Loss: 0.2162, Accuracy: 0.9906
Validation-epoch 24. Iteration 00047, Avg-Loss: 0.6363, Accuracy: 0.8106
6824.3727214336395
