learning_rate = 5e-4
momentum = 0.5
weight_decay = 1e-4
batchSize= 20
epochs = 50
categories = 50

training...
Train-epoch 0. Iteration 00040, Avg-Loss: 4.0155, Accuracy: 0.0300
Train-epoch 0. Iteration 00080, Avg-Loss: 3.9541, Accuracy: 0.0406
Train-epoch 0. Iteration 00120, Avg-Loss: 3.9093, Accuracy: 0.0525
Train-epoch 0. Iteration 00160, Avg-Loss: 3.8579, Accuracy: 0.0625
Train-epoch 0. Iteration 00200, Avg-Loss: 3.8107, Accuracy: 0.0722
Train-epoch 0. Iteration 00240, Avg-Loss: 3.7710, Accuracy: 0.0862
Validation-epoch 0. Iteration 00094, Avg-Loss: 3.5557, Accuracy: 0.1606
Train-epoch 1. Iteration 00040, Avg-Loss: 3.4644, Accuracy: 0.2137
Train-epoch 1. Iteration 00080, Avg-Loss: 3.4214, Accuracy: 0.2344
Train-epoch 1. Iteration 00120, Avg-Loss: 3.3974, Accuracy: 0.2433
Train-epoch 1. Iteration 00160, Avg-Loss: 3.3579, Accuracy: 0.2606
Train-epoch 1. Iteration 00200, Avg-Loss: 3.3295, Accuracy: 0.2735
Train-epoch 1. Iteration 00240, Avg-Loss: 3.2862, Accuracy: 0.2908
Validation-epoch 1. Iteration 00094, Avg-Loss: 3.1505, Accuracy: 0.3234
Train-epoch 2. Iteration 00040, Avg-Loss: 3.0324, Accuracy: 0.4625
Train-epoch 2. Iteration 00080, Avg-Loss: 2.9869, Accuracy: 0.4562
Train-epoch 2. Iteration 00120, Avg-Loss: 2.9538, Accuracy: 0.4571
Train-epoch 2. Iteration 00160, Avg-Loss: 2.9210, Accuracy: 0.4631
Train-epoch 2. Iteration 00200, Avg-Loss: 2.8917, Accuracy: 0.4667
Train-epoch 2. Iteration 00240, Avg-Loss: 2.8604, Accuracy: 0.4796
Validation-epoch 2. Iteration 00094, Avg-Loss: 2.7630, Accuracy: 0.4590
Train-epoch 3. Iteration 00040, Avg-Loss: 2.6492, Accuracy: 0.5525
Train-epoch 3. Iteration 00080, Avg-Loss: 2.6062, Accuracy: 0.5619
Train-epoch 3. Iteration 00120, Avg-Loss: 2.5704, Accuracy: 0.5667
Train-epoch 3. Iteration 00160, Avg-Loss: 2.5455, Accuracy: 0.5694
Train-epoch 3. Iteration 00200, Avg-Loss: 2.5125, Accuracy: 0.5823
Train-epoch 3. Iteration 00240, Avg-Loss: 2.4760, Accuracy: 0.5931
Validation-epoch 3. Iteration 00094, Avg-Loss: 2.4330, Accuracy: 0.5388
Train-epoch 4. Iteration 00040, Avg-Loss: 2.2869, Accuracy: 0.6462
Train-epoch 4. Iteration 00080, Avg-Loss: 2.2506, Accuracy: 0.6494
Train-epoch 4. Iteration 00120, Avg-Loss: 2.2004, Accuracy: 0.6675
Train-epoch 4. Iteration 00160, Avg-Loss: 2.1836, Accuracy: 0.6663
Train-epoch 4. Iteration 00200, Avg-Loss: 2.1600, Accuracy: 0.6700
Train-epoch 4. Iteration 00240, Avg-Loss: 2.1501, Accuracy: 0.6715
Validation-epoch 4. Iteration 00094, Avg-Loss: 2.1659, Accuracy: 0.5739
Train-epoch 5. Iteration 00040, Avg-Loss: 1.9767, Accuracy: 0.7075
Train-epoch 5. Iteration 00080, Avg-Loss: 1.9599, Accuracy: 0.7125
Train-epoch 5. Iteration 00120, Avg-Loss: 1.9376, Accuracy: 0.7179
Train-epoch 5. Iteration 00160, Avg-Loss: 1.9202, Accuracy: 0.7194
Train-epoch 5. Iteration 00200, Avg-Loss: 1.8929, Accuracy: 0.7290
Train-epoch 5. Iteration 00240, Avg-Loss: 1.8692, Accuracy: 0.7333
Validation-epoch 5. Iteration 00094, Avg-Loss: 1.9319, Accuracy: 0.6335
Train-epoch 6. Iteration 00040, Avg-Loss: 1.7377, Accuracy: 0.7612
Train-epoch 6. Iteration 00080, Avg-Loss: 1.6893, Accuracy: 0.7762
Train-epoch 6. Iteration 00120, Avg-Loss: 1.6972, Accuracy: 0.7658
Train-epoch 6. Iteration 00160, Avg-Loss: 1.6629, Accuracy: 0.7719
Train-epoch 6. Iteration 00200, Avg-Loss: 1.6467, Accuracy: 0.7760
Train-epoch 6. Iteration 00240, Avg-Loss: 1.6348, Accuracy: 0.7760
Validation-epoch 6. Iteration 00094, Avg-Loss: 1.7387, Accuracy: 0.6644
Train-epoch 7. Iteration 00040, Avg-Loss: 1.5206, Accuracy: 0.8125
Train-epoch 7. Iteration 00080, Avg-Loss: 1.4963, Accuracy: 0.8075
Train-epoch 7. Iteration 00120, Avg-Loss: 1.4931, Accuracy: 0.8096
Train-epoch 7. Iteration 00160, Avg-Loss: 1.4840, Accuracy: 0.8103
Train-epoch 7. Iteration 00200, Avg-Loss: 1.4702, Accuracy: 0.8137
Train-epoch 7. Iteration 00240, Avg-Loss: 1.4513, Accuracy: 0.8156
Validation-epoch 7. Iteration 00094, Avg-Loss: 1.6035, Accuracy: 0.6793
Train-epoch 8. Iteration 00040, Avg-Loss: 1.3447, Accuracy: 0.8350
Train-epoch 8. Iteration 00080, Avg-Loss: 1.3412, Accuracy: 0.8337
Train-epoch 8. Iteration 00120, Avg-Loss: 1.3331, Accuracy: 0.8371
Train-epoch 8. Iteration 00160, Avg-Loss: 1.3064, Accuracy: 0.8453
Train-epoch 8. Iteration 00200, Avg-Loss: 1.3034, Accuracy: 0.8435
Train-epoch 8. Iteration 00240, Avg-Loss: 1.2899, Accuracy: 0.8419
Validation-epoch 8. Iteration 00094, Avg-Loss: 1.4673, Accuracy: 0.6984
Train-epoch 9. Iteration 00040, Avg-Loss: 1.2310, Accuracy: 0.8562
Train-epoch 9. Iteration 00080, Avg-Loss: 1.1987, Accuracy: 0.8594
Train-epoch 9. Iteration 00120, Avg-Loss: 1.1771, Accuracy: 0.8621
Train-epoch 9. Iteration 00160, Avg-Loss: 1.1765, Accuracy: 0.8569
Train-epoch 9. Iteration 00200, Avg-Loss: 1.1709, Accuracy: 0.8578
Train-epoch 9. Iteration 00240, Avg-Loss: 1.1638, Accuracy: 0.8558
Validation-epoch 9. Iteration 00094, Avg-Loss: 1.3814, Accuracy: 0.7202
Train-epoch 10. Iteration 00040, Avg-Loss: 1.0822, Accuracy: 0.8650
Train-epoch 10. Iteration 00080, Avg-Loss: 1.0639, Accuracy: 0.8762
Train-epoch 10. Iteration 00120, Avg-Loss: 1.0561, Accuracy: 0.8733
Train-epoch 10. Iteration 00160, Avg-Loss: 1.0557, Accuracy: 0.8725
Train-epoch 10. Iteration 00200, Avg-Loss: 1.0527, Accuracy: 0.8708
Train-epoch 10. Iteration 00240, Avg-Loss: 1.0463, Accuracy: 0.8746
Validation-epoch 10. Iteration 00094, Avg-Loss: 1.3431, Accuracy: 0.7069
Train-epoch 11. Iteration 00040, Avg-Loss: 0.9597, Accuracy: 0.9012
Train-epoch 11. Iteration 00080, Avg-Loss: 0.9687, Accuracy: 0.8975
Train-epoch 11. Iteration 00120, Avg-Loss: 0.9722, Accuracy: 0.8938
Train-epoch 11. Iteration 00160, Avg-Loss: 0.9597, Accuracy: 0.8934
Train-epoch 11. Iteration 00200, Avg-Loss: 0.9555, Accuracy: 0.8935
Train-epoch 11. Iteration 00240, Avg-Loss: 0.9438, Accuracy: 0.8925
Validation-epoch 11. Iteration 00094, Avg-Loss: 1.2625, Accuracy: 0.7346
Train-epoch 12. Iteration 00040, Avg-Loss: 0.8721, Accuracy: 0.8838
Train-epoch 12. Iteration 00080, Avg-Loss: 0.8816, Accuracy: 0.8906
Train-epoch 12. Iteration 00120, Avg-Loss: 0.8860, Accuracy: 0.8917
Train-epoch 12. Iteration 00160, Avg-Loss: 0.8816, Accuracy: 0.8953
Train-epoch 12. Iteration 00200, Avg-Loss: 0.8692, Accuracy: 0.8970
Train-epoch 12. Iteration 00240, Avg-Loss: 0.8639, Accuracy: 0.8994
Validation-epoch 12. Iteration 00094, Avg-Loss: 1.1789, Accuracy: 0.7426
Train-epoch 13. Iteration 00040, Avg-Loss: 0.8177, Accuracy: 0.8938
Train-epoch 13. Iteration 00080, Avg-Loss: 0.8061, Accuracy: 0.9056
Train-epoch 13. Iteration 00120, Avg-Loss: 0.8033, Accuracy: 0.9096
Train-epoch 13. Iteration 00160, Avg-Loss: 0.7909, Accuracy: 0.9119
Train-epoch 13. Iteration 00200, Avg-Loss: 0.7866, Accuracy: 0.9110
Train-epoch 13. Iteration 00240, Avg-Loss: 0.7812, Accuracy: 0.9102
Validation-epoch 13. Iteration 00094, Avg-Loss: 1.1353, Accuracy: 0.7404
Train-epoch 14. Iteration 00040, Avg-Loss: 0.7214, Accuracy: 0.9325
Train-epoch 14. Iteration 00080, Avg-Loss: 0.7161, Accuracy: 0.9244
Train-epoch 14. Iteration 00120, Avg-Loss: 0.7271, Accuracy: 0.9225
Train-epoch 14. Iteration 00160, Avg-Loss: 0.7158, Accuracy: 0.9256
Train-epoch 14. Iteration 00200, Avg-Loss: 0.7133, Accuracy: 0.9250
Train-epoch 14. Iteration 00240, Avg-Loss: 0.7062, Accuracy: 0.9263
Validation-epoch 14. Iteration 00094, Avg-Loss: 1.0443, Accuracy: 0.7590
Train-epoch 15. Iteration 00040, Avg-Loss: 0.6840, Accuracy: 0.9137
Train-epoch 15. Iteration 00080, Avg-Loss: 0.6786, Accuracy: 0.9194
Train-epoch 15. Iteration 00120, Avg-Loss: 0.6635, Accuracy: 0.9254
Train-epoch 15. Iteration 00160, Avg-Loss: 0.6624, Accuracy: 0.9259
Train-epoch 15. Iteration 00200, Avg-Loss: 0.6587, Accuracy: 0.9270
Train-epoch 15. Iteration 00240, Avg-Loss: 0.6568, Accuracy: 0.9267
Validation-epoch 15. Iteration 00094, Avg-Loss: 1.0506, Accuracy: 0.7585
Train-epoch 16. Iteration 00040, Avg-Loss: 0.6286, Accuracy: 0.9375
Train-epoch 16. Iteration 00080, Avg-Loss: 0.6249, Accuracy: 0.9375
Train-epoch 16. Iteration 00120, Avg-Loss: 0.6146, Accuracy: 0.9387
Train-epoch 16. Iteration 00160, Avg-Loss: 0.6061, Accuracy: 0.9413
Train-epoch 16. Iteration 00200, Avg-Loss: 0.6058, Accuracy: 0.9397
Train-epoch 16. Iteration 00240, Avg-Loss: 0.6052, Accuracy: 0.9385
Validation-epoch 16. Iteration 00094, Avg-Loss: 1.0043, Accuracy: 0.7590
