LR = 5e-3
Cat = 15
Epochs = 100, but didn't finish

Train-epoch 0. Iteration 00100, Avg-Loss: 9.8029, Accuracy: 0.0900
Train-epoch 0. Iteration 00200, Avg-Loss: 8.7097, Accuracy: 0.0750
Train-epoch 0. Iteration 00300, Avg-Loss: 9.0822, Accuracy: 0.0867
Train-epoch 0. Iteration 00400, Avg-Loss: 8.8617, Accuracy: 0.0775
Train-epoch 0. Iteration 00500, Avg-Loss: 8.8387, Accuracy: 0.0780
Train-epoch 0. Iteration 00600, Avg-Loss: 8.7142, Accuracy: 0.0750
Train-epoch 0. Iteration 00700, Avg-Loss: 8.4384, Accuracy: 0.0786
Train-epoch 0. Iteration 00800, Avg-Loss: 8.4210, Accuracy: 0.0737
Train-epoch 0. Iteration 00900, Avg-Loss: 8.4473, Accuracy: 0.0767
Train-epoch 0. Iteration 01000, Avg-Loss: 8.4261, Accuracy: 0.0730
Train-epoch 0. Iteration 01100, Avg-Loss: 8.4531, Accuracy: 0.0727
Train-epoch 0. Iteration 01200, Avg-Loss: 8.5309, Accuracy: 0.0717
Train-epoch 0. Iteration 01300, Avg-Loss: 8.5403, Accuracy: 0.0708
Train-epoch 0. Iteration 01400, Avg-Loss: 8.5726, Accuracy: 0.0743
Train-epoch 0. Iteration 01500, Avg-Loss: 8.4987, Accuracy: 0.0753
Train-epoch 0. Iteration 01600, Avg-Loss: 8.4576, Accuracy: 0.0781
Validation-epoch 0. Iteration 00426, Avg-Loss: 5.6462, Accuracy: 0.1459
Train-epoch 1. Iteration 00100, Avg-Loss: 7.6735, Accuracy: 0.0700
Train-epoch 1. Iteration 00200, Avg-Loss: 7.9007, Accuracy: 0.0600
Train-epoch 1. Iteration 00300, Avg-Loss: 7.6840, Accuracy: 0.0733
Train-epoch 1. Iteration 00400, Avg-Loss: 7.8700, Accuracy: 0.0775
Train-epoch 1. Iteration 00500, Avg-Loss: 7.9239, Accuracy: 0.0820
Train-epoch 1. Iteration 00600, Avg-Loss: 7.8435, Accuracy: 0.0850
Train-epoch 1. Iteration 00700, Avg-Loss: 7.8156, Accuracy: 0.0843
Train-epoch 1. Iteration 00800, Avg-Loss: 7.7494, Accuracy: 0.0875
Train-epoch 1. Iteration 00900, Avg-Loss: 7.7123, Accuracy: 0.0911
Train-epoch 1. Iteration 01000, Avg-Loss: 7.8139, Accuracy: 0.0890
Train-epoch 1. Iteration 01100, Avg-Loss: 7.8503, Accuracy: 0.0909
Train-epoch 1. Iteration 01200, Avg-Loss: 7.8915, Accuracy: 0.0883
Train-epoch 1. Iteration 01300, Avg-Loss: 7.8763, Accuracy: 0.0877
Train-epoch 1. Iteration 01400, Avg-Loss: 7.9003, Accuracy: 0.0879
Train-epoch 1. Iteration 01500, Avg-Loss: 7.8959, Accuracy: 0.0900
Train-epoch 1. Iteration 01600, Avg-Loss: 7.8761, Accuracy: 0.0919
Validation-epoch 1. Iteration 00426, Avg-Loss: 5.4095, Accuracy: 0.3318
Train-epoch 2. Iteration 00100, Avg-Loss: 8.4332, Accuracy: 0.0600
Train-epoch 2. Iteration 00200, Avg-Loss: 7.8405, Accuracy: 0.0850
Train-epoch 2. Iteration 00300, Avg-Loss: 7.9258, Accuracy: 0.0900
