in-epoch 0. Iteration 00100, Avg-Loss: 2.3934, Accuracy: 0.0800
Train-epoch 0. Iteration 00200, Avg-Loss: 2.3969, Accuracy: 0.0750
Train-epoch 0. Iteration 00300, Avg-Loss: 2.4068, Accuracy: 0.0733
Train-epoch 0. Iteration 00400, Avg-Loss: 2.4065, Accuracy: 0.0875
Train-epoch 0. Iteration 00500, Avg-Loss: 2.4070, Accuracy: 0.0940
Train-epoch 0. Iteration 00600, Avg-Loss: 2.4071, Accuracy: 0.0950
Train-epoch 0. Iteration 00700, Avg-Loss: 2.4086, Accuracy: 0.0943
Train-epoch 0. Iteration 00800, Avg-Loss: 2.4111, Accuracy: 0.0975
Train-epoch 0. Iteration 00900, Avg-Loss: 2.4075, Accuracy: 0.0989
Validation-epoch 0. Iteration 00387, Avg-Loss: 2.3892, Accuracy: 0.1244
Train-epoch 1. Iteration 00100, Avg-Loss: 2.3517, Accuracy: 0.1300
Train-epoch 1. Iteration 00200, Avg-Loss: 2.3820, Accuracy: 0.1050
Train-epoch 1. Iteration 00300, Avg-Loss: 2.3788, Accuracy: 0.1000
Train-epoch 1. Iteration 00400, Avg-Loss: 2.3884, Accuracy: 0.0925
Train-epoch 1. Iteration 00500, Avg-Loss: 2.3831, Accuracy: 0.1040
Train-epoch 1. Iteration 00600, Avg-Loss: 2.3849, Accuracy: 0.1000
Train-epoch 1. Iteration 00700, Avg-Loss: 2.3864, Accuracy: 0.1000
Train-epoch 1. Iteration 00800, Avg-Loss: 2.3842, Accuracy: 0.1050
Train-epoch 1. Iteration 00900, Avg-Loss: 2.3833, Accuracy: 0.1067
Validation-epoch 1. Iteration 00387, Avg-Loss: 2.3634, Accuracy: 0.1710
Train-epoch 2. Iteration 00100, Avg-Loss: 2.3745, Accuracy: 0.1000
Train-epoch 2. Iteration 00200, Avg-Loss: 2.3727, Accuracy: 0.1250
Train-epoch 2. Iteration 00300, Avg-Loss: 2.3765, Accuracy: 0.1000
Train-epoch 2. Iteration 00400, Avg-Loss: 2.3727, Accuracy: 0.1100
Train-epoch 2. Iteration 00500, Avg-Loss: 2.3715, Accuracy: 0.1140
Train-epoch 2. Iteration 00600, Avg-Loss: 2.3707, Accuracy: 0.1167
Train-epoch 2. Iteration 00700, Avg-Loss: 2.3711, Accuracy: 0.1186
Train-epoch 2. Iteration 00800, Avg-Loss: 2.3693, Accuracy: 0.1212
Train-epoch 2. Iteration 00900, Avg-Loss: 2.3709, Accuracy: 0.1167
Validation-epoch 2. Iteration 00387, Avg-Loss: 2.4888, Accuracy: 0.1503
Train-epoch 3. Iteration 00100, Avg-Loss: 2.3220, Accuracy: 0.1400
Train-epoch 3. Iteration 00200, Avg-Loss: 2.3423, Accuracy: 0.1300
Train-epoch 3. Iteration 00300, Avg-Loss: 2.3409, Accuracy: 0.1233
Train-epoch 3. Iteration 00400, Avg-Loss: 2.3522, Accuracy: 0.1150
Train-epoch 3. Iteration 00500, Avg-Loss: 2.3507, Accuracy: 0.1180
Train-epoch 3. Iteration 00600, Avg-Loss: 2.3533, Accuracy: 0.1150
Train-epoch 3. Iteration 00700, Avg-Loss: 2.3494, Accuracy: 0.1200
Train-epoch 3. Iteration 00800, Avg-Loss: 2.3507, Accuracy: 0.1237
Train-epoch 3. Iteration 00900, Avg-Loss: 2.3420, Accuracy: 0.1267
Validation-epoch 3. Iteration 00387, Avg-Loss: 2.1953, Accuracy: 0.2098
Train-epoch 4. Iteration 00100, Avg-Loss: 2.3852, Accuracy: 0.0900
Train-epoch 4. Iteration 00200, Avg-Loss: 2.3411, Accuracy: 0.1200
Train-epoch 4. Iteration 00300, Avg-Loss: 2.3536, Accuracy: 0.1233
Train-epoch 4. Iteration 00400, Avg-Loss: 2.3521, Accuracy: 0.1300
Train-epoch 4. Iteration 00500, Avg-Loss: 2.3463, Accuracy: 0.1260
Train-epoch 4. Iteration 00600, Avg-Loss: 2.3509, Accuracy: 0.1217
Train-epoch 4. Iteration 00700, Avg-Loss: 2.3501, Accuracy: 0.1171
Train-epoch 4. Iteration 00800, Avg-Loss: 2.3435, Accuracy: 0.1187
Train-epoch 4. Iteration 00900, Avg-Loss: 2.3444, Accuracy: 0.1200
Validation-epoch 4. Iteration 00387, Avg-Loss: 2.1623, Accuracy: 0.2513
Train-epoch 5. Iteration 00100, Avg-Loss: 2.3318, Accuracy: 0.1400
Train-epoch 5. Iteration 00200, Avg-Loss: 2.2962, Accuracy: 0.1550
Train-epoch 5. Iteration 00300, Avg-Loss: 2.2955, Accuracy: 0.1467
Train-epoch 5. Iteration 00400, Avg-Loss: 2.2904, Accuracy: 0.1575
Train-epoch 5. Iteration 00500, Avg-Loss: 2.2981, Accuracy: 0.1520
Train-epoch 5. Iteration 00600, Avg-Loss: 2.3121, Accuracy: 0.1433
Train-epoch 5. Iteration 00700, Avg-Loss: 2.3140, Accuracy: 0.1400
Train-epoch 5. Iteration 00800, Avg-Loss: 2.3172, Accuracy: 0.1363
Train-epoch 5. Iteration 00900, Avg-Loss: 2.3233, Accuracy: 0.1311
Validation-epoch 5. Iteration 00387, Avg-Loss: 2.2508, Accuracy: 0.2435
Train-epoch 6. Iteration 00100, Avg-Loss: 2.2650, Accuracy: 0.1400
Train-epoch 6. Iteration 00200, Avg-Loss: 2.2921, Accuracy: 0.1350
Train-epoch 6. Iteration 00300, Avg-Loss: 2.2937, Accuracy: 0.1467
Train-epoch 6. Iteration 00400, Avg-Loss: 2.2974, Accuracy: 0.1450
Train-epoch 6. Iteration 00500, Avg-Loss: 2.3035, Accuracy: 0.1420
Train-epoch 6. Iteration 00600, Avg-Loss: 2.2953, Accuracy: 0.1500
Train-epoch 6. Iteration 00700, Avg-Loss: 2.2953, Accuracy: 0.1486
Train-epoch 6. Iteration 00800, Avg-Loss: 2.2992, Accuracy: 0.1512
Train-epoch 6. Iteration 00900, Avg-Loss: 2.3008, Accuracy: 0.1478
Validation-epoch 6. Iteration 00387, Avg-Loss: 2.2631, Accuracy: 0.1710
Train-epoch 7. Iteration 00100, Avg-Loss: 2.3354, Accuracy: 0.1400
Train-epoch 7. Iteration 00200, Avg-Loss: 2.3304, Accuracy: 0.1300
Train-epoch 7. Iteration 00300, Avg-Loss: 2.3154, Accuracy: 0.1300
Train-epoch 7. Iteration 00400, Avg-Loss: 2.3114, Accuracy: 0.1325
Train-epoch 7. Iteration 00500, Avg-Loss: 2.3128, Accuracy: 0.1220
Train-epoch 7. Iteration 00600, Avg-Loss: 2.3155, Accuracy: 0.1200
Train-epoch 7. Iteration 00700, Avg-Loss: 2.3088, Accuracy: 0.1214
Train-epoch 7. Iteration 00800, Avg-Loss: 2.3060, Accuracy: 0.1300
Train-epoch 7. Iteration 00900, Avg-Loss: 2.3056, Accuracy: 0.1289
Validation-epoch 7. Iteration 00387, Avg-Loss: 2.1591, Accuracy: 0.2176
Train-epoch 8. Iteration 00100, Avg-Loss: 2.3048, Accuracy: 0.1500
Train-epoch 8. Iteration 00200, Avg-Loss: 2.2819, Accuracy: 0.1650
Train-epoch 8. Iteration 00300, Avg-Loss: 2.2821, Accuracy: 0.1567
Train-epoch 8. Iteration 00400, Avg-Loss: 2.2870, Accuracy: 0.1500
Train-epoch 8. Iteration 00500, Avg-Loss: 2.2839, Accuracy: 0.1540
Train-epoch 8. Iteration 00600, Avg-Loss: 2.2810, Accuracy: 0.1533
Train-epoch 8. Iteration 00700, Avg-Loss: 2.2850, Accuracy: 0.1543
Train-epoch 8. Iteration 00800, Avg-Loss: 2.2865, Accuracy: 0.1475
Train-epoch 8. Iteration 00900, Avg-Loss: 2.2835, Accuracy: 0.1467
Validation-epoch 8. Iteration 00387, Avg-Loss: 2.1456, Accuracy: 0.2565
Train-epoch 9. Iteration 00100, Avg-Loss: 2.2859, Accuracy: 0.1500
Train-epoch 9. Iteration 00200, Avg-Loss: 2.2921, Accuracy: 0.1500
Train-epoch 9. Iteration 00300, Avg-Loss: 2.2923, Accuracy: 0.1433
Train-epoch 9. Iteration 00400, Avg-Loss: 2.2844, Accuracy: 0.1550
Train-epoch 9. Iteration 00500, Avg-Loss: 2.2775, Accuracy: 0.1500
