in-epoch 0. Iteration 00100, Avg-Loss: 2.4244, Accuracy: 0.0800
Train-epoch 0. Iteration 00200, Avg-Loss: 2.4118, Accuracy: 0.0950
Train-epoch 0. Iteration 00300, Avg-Loss: 2.3985, Accuracy: 0.0967
Train-epoch 0. Iteration 00400, Avg-Loss: 2.4058, Accuracy: 0.0825
Train-epoch 0. Iteration 00500, Avg-Loss: 2.4008, Accuracy: 0.0880
Train-epoch 0. Iteration 00600, Avg-Loss: 2.3991, Accuracy: 0.0833
Train-epoch 0. Iteration 00700, Avg-Loss: 2.4013, Accuracy: 0.0843
Train-epoch 0. Iteration 00800, Avg-Loss: 2.3924, Accuracy: 0.0912
Train-epoch 0. Iteration 00900, Avg-Loss: 2.3945, Accuracy: 0.0944
Validation-epoch 0. Iteration 00387, Avg-Loss: 2.5979, Accuracy: 0.1140
Train-epoch 1. Iteration 00100, Avg-Loss: 2.3771, Accuracy: 0.1200
Train-epoch 1. Iteration 00200, Avg-Loss: 2.3590, Accuracy: 0.1400
Train-epoch 1. Iteration 00300, Avg-Loss: 2.3634, Accuracy: 0.1267
Train-epoch 1. Iteration 00400, Avg-Loss: 2.3553, Accuracy: 0.1225
Train-epoch 1. Iteration 00500, Avg-Loss: 2.3600, Accuracy: 0.1220
Train-epoch 1. Iteration 00600, Avg-Loss: 2.3625, Accuracy: 0.1217
Train-epoch 1. Iteration 00700, Avg-Loss: 2.3656, Accuracy: 0.1171
Train-epoch 1. Iteration 00800, Avg-Loss: 2.3609, Accuracy: 0.1125
Train-epoch 1. Iteration 00900, Avg-Loss: 2.3603, Accuracy: 0.1111
Validation-epoch 1. Iteration 00387, Avg-Loss: 2.3943, Accuracy: 0.1140
Train-epoch 2. Iteration 00100, Avg-Loss: 2.3468, Accuracy: 0.1200
Train-epoch 2. Iteration 00200, Avg-Loss: 2.3356, Accuracy: 0.1250
Train-epoch 2. Iteration 00300, Avg-Loss: 2.3392, Accuracy: 0.1233
Train-epoch 2. Iteration 00400, Avg-Loss: 2.3310, Accuracy: 0.1350
Train-epoch 2. Iteration 00500, Avg-Loss: 2.3216, Accuracy: 0.1400
Train-epoch 2. Iteration 00600, Avg-Loss: 2.3271, Accuracy: 0.1283
Train-epoch 2. Iteration 00700, Avg-Loss: 2.3265, Accuracy: 0.1271
Train-epoch 2. Iteration 00800, Avg-Loss: 2.3269, Accuracy: 0.1237
Train-epoch 2. Iteration 00900, Avg-Loss: 2.3235, Accuracy: 0.1256
Validation-epoch 2. Iteration 00387, Avg-Loss: 2.3378, Accuracy: 0.1632
Train-epoch 3. Iteration 00100, Avg-Loss: 2.2897, Accuracy: 0.1100
Train-epoch 3. Iteration 00200, Avg-Loss: 2.2871, Accuracy: 0.1250
Train-epoch 3. Iteration 00300, Avg-Loss: 2.2660, Accuracy: 0.1400
Train-epoch 3. Iteration 00400, Avg-Loss: 2.2770, Accuracy: 0.1400
Train-epoch 3. Iteration 00500, Avg-Loss: 2.2788, Accuracy: 0.1460
Train-epoch 3. Iteration 00600, Avg-Loss: 2.2764, Accuracy: 0.1433
Train-epoch 3. Iteration 00700, Avg-Loss: 2.2756, Accuracy: 0.1457
Train-epoch 3. Iteration 00800, Avg-Loss: 2.2731, Accuracy: 0.1487
Train-epoch 3. Iteration 00900, Avg-Loss: 2.2755, Accuracy: 0.1478
Validation-epoch 3. Iteration 00387, Avg-Loss: 2.3587, Accuracy: 0.1399
Train-epoch 4. Iteration 00100, Avg-Loss: 2.1835, Accuracy: 0.2100
Train-epoch 4. Iteration 00200, Avg-Loss: 2.2118, Accuracy: 0.1850
Train-epoch 4. Iteration 00300, Avg-Loss: 2.2181, Accuracy: 0.1767
Train-epoch 4. Iteration 00400, Avg-Loss: 2.2128, Accuracy: 0.1825
Train-epoch 4. Iteration 00500, Avg-Loss: 2.2209, Accuracy: 0.1800
Train-epoch 4. Iteration 00600, Avg-Loss: 2.2309, Accuracy: 0.1733
Train-epoch 4. Iteration 00700, Avg-Loss: 2.2318, Accuracy: 0.1743
Train-epoch 4. Iteration 00800, Avg-Loss: 2.2336, Accuracy: 0.1737
Train-epoch 4. Iteration 00900, Avg-Loss: 2.2369, Accuracy: 0.1711
Validation-epoch 4. Iteration 00387, Avg-Loss: 2.3487, Accuracy: 0.1399
Train-epoch 5. Iteration 00100, Avg-Loss: 2.2015, Accuracy: 0.1800
Train-epoch 5. Iteration 00200, Avg-Loss: 2.2095, Accuracy: 0.1700
Train-epoch 5. Iteration 00300, Avg-Loss: 2.1955, Accuracy: 0.1867
Train-epoch 5. Iteration 00400, Avg-Loss: 2.1999, Accuracy: 0.1825
Train-epoch 5. Iteration 00500, Avg-Loss: 2.2023, Accuracy: 0.1840
Train-epoch 5. Iteration 00600, Avg-Loss: 2.1982, Accuracy: 0.1850
Train-epoch 5. Iteration 00700, Avg-Loss: 2.1933, Accuracy: 0.1929
Train-epoch 5. Iteration 00800, Avg-Loss: 2.1956, Accuracy: 0.1938
Train-epoch 5. Iteration 00900, Avg-Loss: 2.1892, Accuracy: 0.2000
Validation-epoch 5. Iteration 00387, Avg-Loss: 2.3195, Accuracy: 0.1865
Train-epoch 6. Iteration 00100, Avg-Loss: 2.1800, Accuracy: 0.2200
Train-epoch 6. Iteration 00200, Avg-Loss: 2.1617, Accuracy: 0.2150
Train-epoch 6. Iteration 00300, Avg-Loss: 2.1557, Accuracy: 0.2200
Train-epoch 6. Iteration 00400, Avg-Loss: 2.1570, Accuracy: 0.2125
Train-epoch 6. Iteration 00500, Avg-Loss: 2.1480, Accuracy: 0.2300
Train-epoch 6. Iteration 00600, Avg-Loss: 2.1439, Accuracy: 0.2333
Train-epoch 6. Iteration 00700, Avg-Loss: 2.1363, Accuracy: 0.2371
Train-epoch 6. Iteration 00800, Avg-Loss: 2.1354, Accuracy: 0.2375
Train-epoch 6. Iteration 00900, Avg-Loss: 2.1329, Accuracy: 0.2411
Validation-epoch 6. Iteration 00387, Avg-Loss: 2.2986, Accuracy: 0.1839
Train-epoch 7. Iteration 00100, Avg-Loss: 2.0935, Accuracy: 0.2700
Train-epoch 7. Iteration 00200, Avg-Loss: 2.0561, Accuracy: 0.2750
Train-epoch 7. Iteration 00300, Avg-Loss: 2.0639, Accuracy: 0.2800
Train-epoch 7. Iteration 00400, Avg-Loss: 2.0734, Accuracy: 0.2675
Train-epoch 7. Iteration 00500, Avg-Loss: 2.0712, Accuracy: 0.2580
Train-epoch 7. Iteration 00600, Avg-Loss: 2.0770, Accuracy: 0.2700
Train-epoch 7. Iteration 00700, Avg-Loss: 2.0786, Accuracy: 0.2671
Train-epoch 7. Iteration 00800, Avg-Loss: 2.0760, Accuracy: 0.2675
Train-epoch 7. Iteration 00900, Avg-Loss: 2.0754, Accuracy: 0.2711
Validation-epoch 7. Iteration 00387, Avg-Loss: 2.2981, Accuracy: 0.2073
Train-epoch 8. Iteration 00100, Avg-Loss: 2.0386, Accuracy: 0.2600
Train-epoch 8. Iteration 00200, Avg-Loss: 2.0234, Accuracy: 0.2950
Train-epoch 8. Iteration 00300, Avg-Loss: 2.0209, Accuracy: 0.2967
Train-epoch 8. Iteration 00400, Avg-Loss: 2.0166, Accuracy: 0.3050
Train-epoch 8. Iteration 00500, Avg-Loss: 2.0186, Accuracy: 0.3100
Train-epoch 8. Iteration 00600, Avg-Loss: 2.0265, Accuracy: 0.3050
Train-epoch 8. Iteration 00700, Avg-Loss: 2.0298, Accuracy: 0.3057
