Train-epoch 0. Iteration 00100, Avg-Loss: 2.4165, Accuracy: 0.1000
Train-epoch 0. Iteration 00200, Avg-Loss: 2.4218, Accuracy: 0.0950
Train-epoch 0. Iteration 00300, Avg-Loss: 2.4028, Accuracy: 0.1133
Train-epoch 0. Iteration 00400, Avg-Loss: 2.4006, Accuracy: 0.1100
Train-epoch 0. Iteration 00500, Avg-Loss: 2.3995, Accuracy: 0.1080
Train-epoch 0. Iteration 00600, Avg-Loss: 2.4009, Accuracy: 0.1083
Train-epoch 0. Iteration 00700, Avg-Loss: 2.4017, Accuracy: 0.1086
Train-epoch 0. Iteration 00800, Avg-Loss: 2.3943, Accuracy: 0.1125
Train-epoch 0. Iteration 00900, Avg-Loss: 2.3970, Accuracy: 0.1089
Validation-epoch 0. Iteration 00387, Avg-Loss: 2.4547, Accuracy: 0.0907
Train-epoch 1. Iteration 00100, Avg-Loss: 2.4378, Accuracy: 0.1000
Train-epoch 1. Iteration 00200, Avg-Loss: 2.3959, Accuracy: 0.1350
Train-epoch 1. Iteration 00300, Avg-Loss: 2.3953, Accuracy: 0.1167
Train-epoch 1. Iteration 00400, Avg-Loss: 2.3966, Accuracy: 0.1150
Train-epoch 1. Iteration 00500, Avg-Loss: 2.4012, Accuracy: 0.1160
Train-epoch 1. Iteration 00600, Avg-Loss: 2.4012, Accuracy: 0.1083
Train-epoch 1. Iteration 00700, Avg-Loss: 2.3981, Accuracy: 0.1157
Train-epoch 1. Iteration 00800, Avg-Loss: 2.3993, Accuracy: 0.1125
Train-epoch 1. Iteration 00900, Avg-Loss: 2.4009, Accuracy: 0.1089
Validation-epoch 1. Iteration 00387, Avg-Loss: 2.4937, Accuracy: 0.1580
Train-epoch 2. Iteration 00100, Avg-Loss: 2.3648, Accuracy: 0.1400
Train-epoch 2. Iteration 00200, Avg-Loss: 2.3712, Accuracy: 0.1200
Train-epoch 2. Iteration 00300, Avg-Loss: 2.3786, Accuracy: 0.1133
Train-epoch 2. Iteration 00400, Avg-Loss: 2.3847, Accuracy: 0.1125
Train-epoch 2. Iteration 00500, Avg-Loss: 2.3860, Accuracy: 0.1140
Train-epoch 2. Iteration 00600, Avg-Loss: 2.3920, Accuracy: 0.1067
Train-epoch 2. Iteration 00700, Avg-Loss: 2.3941, Accuracy: 0.1071
Train-epoch 2. Iteration 00800, Avg-Loss: 2.3965, Accuracy: 0.1062
Train-epoch 2. Iteration 00900, Avg-Loss: 2.3975, Accuracy: 0.1000
Validation-epoch 2. Iteration 00387, Avg-Loss: 2.2863, Accuracy: 0.2021
Train-epoch 3. Iteration 00100, Avg-Loss: 2.3527, Accuracy: 0.1600
Train-epoch 3. Iteration 00200, Avg-Loss: 2.3525, Accuracy: 0.1250
Train-epoch 3. Iteration 00300, Avg-Loss: 2.3750, Accuracy: 0.1133
Train-epoch 3. Iteration 00400, Avg-Loss: 2.3845, Accuracy: 0.1050
Train-epoch 3. Iteration 00500, Avg-Loss: 2.3852, Accuracy: 0.1120
Train-epoch 3. Iteration 00600, Avg-Loss: 2.3851, Accuracy: 0.1150
Train-epoch 3. Iteration 00700, Avg-Loss: 2.3907, Accuracy: 0.1057
Train-epoch 3. Iteration 00800, Avg-Loss: 2.3877, Accuracy: 0.1113
Train-epoch 3. Iteration 00900, Avg-Loss: 2.3906, Accuracy: 0.1056
Validation-epoch 3. Iteration 00387, Avg-Loss: 2.3859, Accuracy: 0.1166
Train-epoch 4. Iteration 00100, Avg-Loss: 2.4033, Accuracy: 0.1200
Train-epoch 4. Iteration 00200, Avg-Loss: 2.3887, Accuracy: 0.1100
Train-epoch 4. Iteration 00300, Avg-Loss: 2.3879, Accuracy: 0.0933
Train-epoch 4. Iteration 00400, Avg-Loss: 2.3865, Accuracy: 0.0950
Train-epoch 4. Iteration 00500, Avg-Loss: 2.3772, Accuracy: 0.1000
Train-epoch 4. Iteration 00600, Avg-Loss: 2.3823, Accuracy: 0.0950
Train-epoch 4. Iteration 00700, Avg-Loss: 2.3839, Accuracy: 0.1000
Train-epoch 4. Iteration 00800, Avg-Loss: 2.3866, Accuracy: 0.1062
Train-epoch 4. Iteration 00900, Avg-Loss: 2.3805, Accuracy: 0.1111
Validation-epoch 4. Iteration 00387, Avg-Loss: 2.4938, Accuracy: 0.1114
Train-epoch 5. Iteration 00100, Avg-Loss: 2.3797, Accuracy: 0.0900
Train-epoch 5. Iteration 00200, Avg-Loss: 2.3937, Accuracy: 0.0900
Train-epoch 5. Iteration 00300, Avg-Loss: 2.3863, Accuracy: 0.1067
Train-epoch 5. Iteration 00400, Avg-Loss: 2.3755, Accuracy: 0.1100
Train-epoch 5. Iteration 00500, Avg-Loss: 2.3754, Accuracy: 0.1160
Train-epoch 5. Iteration 00600, Avg-Loss: 2.3807, Accuracy: 0.1083
Train-epoch 5. Iteration 00700, Avg-Loss: 2.3801, Accuracy: 0.1143
Train-epoch 5. Iteration 00800, Avg-Loss: 2.3823, Accuracy: 0.1163
Train-epoch 5. Iteration 00900, Avg-Loss: 2.3788, Accuracy: 0.1200
Validation-epoch 5. Iteration 00387, Avg-Loss: 2.2710, Accuracy: 0.1554
Train-epoch 6. Iteration 00100, Avg-Loss: 2.3005, Accuracy: 0.1300
Train-epoch 6. Iteration 00200, Avg-Loss: 2.3534, Accuracy: 0.1050
Train-epoch 6. Iteration 00300, Avg-Loss: 2.3627, Accuracy: 0.1033
Train-epoch 6. Iteration 00400, Avg-Loss: 2.3712, Accuracy: 0.1125
Train-epoch 6. Iteration 00500, Avg-Loss: 2.3641, Accuracy: 0.1200
Train-epoch 6. Iteration 00600, Avg-Loss: 2.3713, Accuracy: 0.1083
Train-epoch 6. Iteration 00700, Avg-Loss: 2.3698, Accuracy: 0.1071
Train-epoch 6. Iteration 00800, Avg-Loss: 2.3755, Accuracy: 0.1000
Train-epoch 6. Iteration 00900, Avg-Loss: 2.3792, Accuracy: 0.1011
Validation-epoch 6. Iteration 00387, Avg-Loss: 2.1627, Accuracy: 0.1943
Train-epoch 7. Iteration 00100, Avg-Loss: 2.3955, Accuracy: 0.0900
Train-epoch 7. Iteration 00200, Avg-Loss: 2.3684, Accuracy: 0.1150
Train-epoch 7. Iteration 00300, Avg-Loss: 2.3518, Accuracy: 0.1233
Train-epoch 7. Iteration 00400, Avg-Loss: 2.3532, Accuracy: 0.1175
Train-epoch 7. Iteration 00500, Avg-Loss: 2.3692, Accuracy: 0.1180
Train-epoch 7. Iteration 00600, Avg-Loss: 2.3695, Accuracy: 0.1133
Train-epoch 7. Iteration 00700, Avg-Loss: 2.3762, Accuracy: 0.1171
Train-epoch 7. Iteration 00800, Avg-Loss: 2.3711, Accuracy: 0.1187
Train-epoch 7. Iteration 00900, Avg-Loss: 2.3791, Accuracy: 0.1167
Validation-epoch 7. Iteration 00387, Avg-Loss: 2.1809, Accuracy: 0.1554
Train-epoch 8. Iteration 00100, Avg-Loss: 2.4022, Accuracy: 0.0700
Train-epoch 8. Iteration 00200, Avg-Loss: 2.3913, Accuracy: 0.0850
Train-epoch 8. Iteration 00300, Avg-Loss: 2.3957, Accuracy: 0.0967
Train-epoch 8. Iteration 00400, Avg-Loss: 2.3909, Accuracy: 0.1050
Train-epoch 8. Iteration 00500, Avg-Loss: 2.3867, Accuracy: 0.1140
Train-epoch 8. Iteration 00600, Avg-Loss: 2.3837, Accuracy: 0.1167
Train-epoch 8. Iteration 00700, Avg-Loss: 2.3844, Accuracy: 0.1157
Train-epoch 8. Iteration 00800, Avg-Loss: 2.3851, Accuracy: 0.1163
Train-epoch 8. Iteration 00900, Avg-Loss: 2.3834, Accuracy: 0.1144
Validation-epoch 8. Iteration 00387, Avg-Loss: 2.3700, Accuracy: 0.1451
Train-epoch 9. Iteration 00100, Avg-Loss: 2.3782, Accuracy: 0.1200
Train-epoch 9. Iteration 00200, Avg-Loss: 2.3741, Accuracy: 0.1250
Train-epoch 9. Iteration 00300, Avg-Loss: 2.3609, Accuracy: 0.1267
Train-epoch 9. Iteration 00400, Avg-Loss: 2.3634, Accuracy: 0.1250
Train-epoch 9. Iteration 00500, Avg-Loss: 2.3739, Accuracy: 0.1160
Train-epoch 9. Iteration 00600, Avg-Loss: 2.3655, Accuracy: 0.1167
Train-epoch 9. Iteration 00700, Avg-Loss: 2.3660, Accuracy: 0.1200
Train-epoch 9. Iteration 00800, Avg-Loss: 2.3704, Accuracy: 0.1200
Train-epoch 9. Iteration 00900, Avg-Loss: 2.3672, Accuracy: 0.1222
Validation-epoch 9. Iteration 00387, Avg-Loss: 2.0234, Accuracy: 0.3109
Train-epoch 10. Iteration 00100, Avg-Loss: 2.3704, Accuracy: 0.1500
Train-epoch 10. Iteration 00200, Avg-Loss: 2.3802, Accuracy: 0.1300
Train-epoch 10. Iteration 00300, Avg-Loss: 2.3791, Accuracy: 0.1233
Train-epoch 10. Iteration 00400, Avg-Loss: 2.3815, Accuracy: 0.1350
Train-epoch 10. Iteration 00500, Avg-Loss: 2.3828, Accuracy: 0.1320
Train-epoch 10. Iteration 00600, Avg-Loss: 2.3780, Accuracy: 0.1333
Train-epoch 10. Iteration 00700, Avg-Loss: 2.3789, Accuracy: 0.1329
Train-epoch 10. Iteration 00800, Avg-Loss: 2.3790, Accuracy: 0.1263
Train-epoch 10. Iteration 00900, Avg-Loss: 2.3804, Accuracy: 0.1222
Validation-epoch 10. Iteration 00387, Avg-Loss: 2.2222, Accuracy: 0.1969
Train-epoch 11. Iteration 00100, Avg-Loss: 2.3739, Accuracy: 0.1000
Train-epoch 11. Iteration 00200, Avg-Loss: 2.3832, Accuracy: 0.1050
Train-epoch 11. Iteration 00300, Avg-Loss: 2.3889, Accuracy: 0.0867
Train-epoch 11. Iteration 00400, Avg-Loss: 2.3899, Accuracy: 0.0875
Train-epoch 11. Iteration 00500, Avg-Loss: 2.3840, Accuracy: 0.0900
Train-epoch 11. Iteration 00600, Avg-Loss: 2.3894, Accuracy: 0.0933
Train-epoch 11. Iteration 00700, Avg-Loss: 2.3867, Accuracy: 0.0900
Train-epoch 11. Iteration 00800, Avg-Loss: 2.3871, Accuracy: 0.0887
Train-epoch 11. Iteration 00900, Avg-Loss: 2.3858, Accuracy: 0.0922
Validation-epoch 11. Iteration 00387, Avg-Loss: 2.0970, Accuracy: 0.2746
Train-epoch 12. Iteration 00100, Avg-Loss: 2.3988, Accuracy: 0.0900
Train-epoch 12. Iteration 00200, Avg-Loss: 2.3916, Accuracy: 0.0950
Train-epoch 12. Iteration 00300, Avg-Loss: 2.3768, Accuracy: 0.1033
Train-epoch 12. Iteration 00400, Avg-Loss: 2.3701, Accuracy: 0.1075
Train-epoch 12. Iteration 00500, Avg-Loss: 2.3770, Accuracy: 0.1020
Train-epoch 12. Iteration 00600, Avg-Loss: 2.3784, Accuracy: 0.1067
Train-epoch 12. Iteration 00700, Avg-Loss: 2.3790, Accuracy: 0.1071
Train-epoch 12. Iteration 00800, Avg-Loss: 2.3822, Accuracy: 0.1025
Train-epoch 12. Iteration 00900, Avg-Loss: 2.3837, Accuracy: 0.1022
Validation-epoch 12. Iteration 00387, Avg-Loss: 2.0507, Accuracy: 0.2124
Train-epoch 13. Iteration 00100, Avg-Loss: 2.3486, Accuracy: 0.1700
Train-epoch 13. Iteration 00200, Avg-Loss: 2.3486, Accuracy: 0.1750
Train-epoch 13. Iteration 00300, Avg-Loss: 2.3546, Accuracy: 0.1533
Train-epoch 13. Iteration 00400, Avg-Loss: 2.3560, Accuracy: 0.1475
