LR: 5e-4
Cats: 10
Epochs: 10
Model: Pretrained resnet 18 with grad, averaging frames
SGD Params: Momentum 0.5, weight decay 5e-4

Train-epoch 0. Iteration 00100, Avg-Loss: 2.4158, Accuracy: 0.0500
Train-epoch 0. Iteration 00200, Avg-Loss: 2.4136, Accuracy: 0.0600
Train-epoch 0. Iteration 00300, Avg-Loss: 2.4165, Accuracy: 0.0633
Train-epoch 0. Iteration 00400, Avg-Loss: 2.4254, Accuracy: 0.0600
Train-epoch 0. Iteration 00500, Avg-Loss: 2.4187, Accuracy: 0.0640
Train-epoch 0. Iteration 00600, Avg-Loss: 2.4125, Accuracy: 0.0733
Train-epoch 0. Iteration 00700, Avg-Loss: 2.4165, Accuracy: 0.0757
Train-epoch 0. Iteration 00800, Avg-Loss: 2.4153, Accuracy: 0.0813
Train-epoch 0. Iteration 00900, Avg-Loss: 2.4078, Accuracy: 0.0878
Validation-epoch 0. Iteration 00387, Avg-Loss: 2.4746, Accuracy: 0.1010
Train-epoch 1. Iteration 00100, Avg-Loss: 2.3641, Accuracy: 0.1100
Train-epoch 1. Iteration 00200, Avg-Loss: 2.3730, Accuracy: 0.1100
Train-epoch 1. Iteration 00300, Avg-Loss: 2.3630, Accuracy: 0.1300
Train-epoch 1. Iteration 00400, Avg-Loss: 2.3680, Accuracy: 0.1275
Train-epoch 1. Iteration 00500, Avg-Loss: 2.3726, Accuracy: 0.1240
Train-epoch 1. Iteration 00600, Avg-Loss: 2.3761, Accuracy: 0.1200
Train-epoch 1. Iteration 00700, Avg-Loss: 2.3753, Accuracy: 0.1143
Train-epoch 1. Iteration 00800, Avg-Loss: 2.3707, Accuracy: 0.1163
Train-epoch 1. Iteration 00900, Avg-Loss: 2.3746, Accuracy: 0.1133
Validation-epoch 1. Iteration 00387, Avg-Loss: 2.5244, Accuracy: 0.0984
Train-epoch 2. Iteration 00100, Avg-Loss: 2.3854, Accuracy: 0.0700
Train-epoch 2. Iteration 00200, Avg-Loss: 2.3897, Accuracy: 0.0750
Train-epoch 2. Iteration 00300, Avg-Loss: 2.3641, Accuracy: 0.1033
Train-epoch 2. Iteration 00400, Avg-Loss: 2.3757, Accuracy: 0.0975
