training...
Train-epoch 0. Iteration 00040, Avg-Loss: 2.3026, Accuracy: 0.1825
Validation-epoch 0. Iteration 00019, Avg-Loss: 2.0979, Accuracy: 0.2789
Train-epoch 1. Iteration 00040, Avg-Loss: 2.0585, Accuracy: 0.3088
Validation-epoch 1. Iteration 00019, Avg-Loss: 1.9017, Accuracy: 0.4526
Train-epoch 2. Iteration 00040, Avg-Loss: 1.8830, Accuracy: 0.4925
Validation-epoch 2. Iteration 00019, Avg-Loss: 1.7445, Accuracy: 0.5447
Train-epoch 3. Iteration 00040, Avg-Loss: 1.7354, Accuracy: 0.5763
Validation-epoch 3. Iteration 00019, Avg-Loss: 1.5936, Accuracy: 0.6368
Train-epoch 4. Iteration 00040, Avg-Loss: 1.5879, Accuracy: 0.6675
Validation-epoch 4. Iteration 00019, Avg-Loss: 1.4799, Accuracy: 0.7237
Train-epoch 5. Iteration 00040, Avg-Loss: 1.4696, Accuracy: 0.7150
Validation-epoch 5. Iteration 00019, Avg-Loss: 1.3818, Accuracy: 0.7105
Train-epoch 6. Iteration 00040, Avg-Loss: 1.3700, Accuracy: 0.7575
Validation-epoch 6. Iteration 00019, Avg-Loss: 1.2707, Accuracy: 0.7474
Train-epoch 7. Iteration 00040, Avg-Loss: 1.2673, Accuracy: 0.8213
Validation-epoch 7. Iteration 00019, Avg-Loss: 1.1991, Accuracy: 0.7684
Train-epoch 8. Iteration 00040, Avg-Loss: 1.1708, Accuracy: 0.8475
Validation-epoch 8. Iteration 00019, Avg-Loss: 1.1258, Accuracy: 0.8316
Train-epoch 9. Iteration 00040, Avg-Loss: 1.1035, Accuracy: 0.8750
Validation-epoch 9. Iteration 00019, Avg-Loss: 1.0623, Accuracy: 0.8500
Train-epoch 10. Iteration 00040, Avg-Loss: 1.0302, Accuracy: 0.8788
Validation-epoch 10. Iteration 00019, Avg-Loss: 1.0144, Accuracy: 0.8263
Train-epoch 11. Iteration 00040, Avg-Loss: 0.9973, Accuracy: 0.8838
Validation-epoch 11. Iteration 00019, Avg-Loss: 0.9587, Accuracy: 0.8421
Train-epoch 12. Iteration 00040, Avg-Loss: 0.9375, Accuracy: 0.8925
Validation-epoch 12. Iteration 00019, Avg-Loss: 0.9360, Accuracy: 0.8553
Train-epoch 13. Iteration 00040, Avg-Loss: 0.8805, Accuracy: 0.9125
Validation-epoch 13. Iteration 00019, Avg-Loss: 0.8844, Accuracy: 0.8447
Train-epoch 14. Iteration 00040, Avg-Loss: 0.8360, Accuracy: 0.9175
Validation-epoch 14. Iteration 00019, Avg-Loss: 0.8417, Accuracy: 0.8579
Train-epoch 15. Iteration 00040, Avg-Loss: 0.8019, Accuracy: 0.9237
Validation-epoch 15. Iteration 00019, Avg-Loss: 0.8182, Accuracy: 0.8658
Train-epoch 16. Iteration 00040, Avg-Loss: 0.7785, Accuracy: 0.9350
Validation-epoch 16. Iteration 00019, Avg-Loss: 0.7911, Accuracy: 0.8605
Train-epoch 17. Iteration 00040, Avg-Loss: 0.7302, Accuracy: 0.9213
Validation-epoch 17. Iteration 00019, Avg-Loss: 0.7740, Accuracy: 0.8395
Train-epoch 18. Iteration 00040, Avg-Loss: 0.6966, Accuracy: 0.9413
Validation-epoch 18. Iteration 00019, Avg-Loss: 0.7511, Accuracy: 0.8868
Train-epoch 19. Iteration 00040, Avg-Loss: 0.6787, Accuracy: 0.9275
Validation-epoch 19. Iteration 00019, Avg-Loss: 0.7168, Accuracy: 0.8632
Train-epoch 20. Iteration 00040, Avg-Loss: 0.6739, Accuracy: 0.9287
Validation-epoch 20. Iteration 00019, Avg-Loss: 0.7103, Accuracy: 0.8711
Train-epoch 21. Iteration 00040, Avg-Loss: 0.6393, Accuracy: 0.9287
Validation-epoch 21. Iteration 00019, Avg-Loss: 0.6509, Accuracy: 0.8816
Train-epoch 22. Iteration 00040, Avg-Loss: 0.6127, Accuracy: 0.9437
Validation-epoch 22. Iteration 00019, Avg-Loss: 0.6328, Accuracy: 0.8711
Train-epoch 23. Iteration 00040, Avg-Loss: 0.5805, Accuracy: 0.9363
Validation-epoch 23. Iteration 00019, Avg-Loss: 0.6227, Accuracy: 0.8947
Train-epoch 24. Iteration 00040, Avg-Loss: 0.5812, Accuracy: 0.9500
Validation-epoch 24. Iteration 00019, Avg-Loss: 0.6383, Accuracy: 0.8737
434.82482266426086
