training...
Train-epoch 0. Iteration 00040, Avg-Loss: 2.2169, Accuracy: 0.2025
Validation-epoch 0. Iteration 00019, Avg-Loss: 1.9396, Accuracy: 0.3921
Train-epoch 1. Iteration 00040, Avg-Loss: 1.7890, Accuracy: 0.5125
Validation-epoch 1. Iteration 00019, Avg-Loss: 1.6273, Accuracy: 0.5553
Train-epoch 2. Iteration 00040, Avg-Loss: 1.4458, Accuracy: 0.7300
Validation-epoch 2. Iteration 00019, Avg-Loss: 1.3785, Accuracy: 0.6316
Train-epoch 3. Iteration 00040, Avg-Loss: 1.2054, Accuracy: 0.8175
Validation-epoch 3. Iteration 00019, Avg-Loss: 1.1786, Accuracy: 0.7237
Train-epoch 4. Iteration 00040, Avg-Loss: 1.0207, Accuracy: 0.8650
Validation-epoch 4. Iteration 00019, Avg-Loss: 1.0344, Accuracy: 0.7579
Train-epoch 5. Iteration 00040, Avg-Loss: 0.8710, Accuracy: 0.9050
Validation-epoch 5. Iteration 00019, Avg-Loss: 0.9191, Accuracy: 0.7974
Train-epoch 6. Iteration 00040, Avg-Loss: 0.7579, Accuracy: 0.9137
Validation-epoch 6. Iteration 00019, Avg-Loss: 0.8321, Accuracy: 0.8053
Train-epoch 7. Iteration 00040, Avg-Loss: 0.6570, Accuracy: 0.9337
Validation-epoch 7. Iteration 00019, Avg-Loss: 0.7571, Accuracy: 0.8132
Train-epoch 8. Iteration 00040, Avg-Loss: 0.5710, Accuracy: 0.9563
Validation-epoch 8. Iteration 00019, Avg-Loss: 0.6859, Accuracy: 0.8316
Train-epoch 9. Iteration 00040, Avg-Loss: 0.5135, Accuracy: 0.9550
Validation-epoch 9. Iteration 00019, Avg-Loss: 0.6477, Accuracy: 0.8342
Train-epoch 10. Iteration 00040, Avg-Loss: 0.4475, Accuracy: 0.9712
Validation-epoch 10. Iteration 00019, Avg-Loss: 0.6122, Accuracy: 0.8316
Train-epoch 11. Iteration 00040, Avg-Loss: 0.4149, Accuracy: 0.9637
Validation-epoch 11. Iteration 00019, Avg-Loss: 0.5726, Accuracy: 0.8553
Train-epoch 12. Iteration 00040, Avg-Loss: 0.3770, Accuracy: 0.9725
Validation-epoch 12. Iteration 00019, Avg-Loss: 0.5427, Accuracy: 0.8579
Train-epoch 13. Iteration 00040, Avg-Loss: 0.3465, Accuracy: 0.9712
Validation-epoch 13. Iteration 00019, Avg-Loss: 0.5163, Accuracy: 0.8605
Train-epoch 14. Iteration 00040, Avg-Loss: 0.3196, Accuracy: 0.9750
Validation-epoch 14. Iteration 00019, Avg-Loss: 0.4882, Accuracy: 0.8763
Train-epoch 15. Iteration 00040, Avg-Loss: 0.2816, Accuracy: 0.9788
Validation-epoch 15. Iteration 00019, Avg-Loss: 0.4795, Accuracy: 0.8658
Train-epoch 16. Iteration 00040, Avg-Loss: 0.2613, Accuracy: 0.9812
Validation-epoch 16. Iteration 00019, Avg-Loss: 0.4611, Accuracy: 0.8789
Train-epoch 17. Iteration 00040, Avg-Loss: 0.2474, Accuracy: 0.9838
Validation-epoch 17. Iteration 00019, Avg-Loss: 0.4462, Accuracy: 0.8789
Train-epoch 18. Iteration 00040, Avg-Loss: 0.2216, Accuracy: 0.9925
Validation-epoch 18. Iteration 00019, Avg-Loss: 0.4341, Accuracy: 0.8737
Train-epoch 19. Iteration 00040, Avg-Loss: 0.2018, Accuracy: 0.9912
Validation-epoch 19. Iteration 00019, Avg-Loss: 0.4215, Accuracy: 0.8868
Train-epoch 20. Iteration 00040, Avg-Loss: 0.1820, Accuracy: 0.9912
Validation-epoch 20. Iteration 00019, Avg-Loss: 0.4117, Accuracy: 0.8763
Train-epoch 21. Iteration 00040, Avg-Loss: 0.1738, Accuracy: 0.9938
Validation-epoch 21. Iteration 00019, Avg-Loss: 0.4090, Accuracy: 0.8789
Train-epoch 22. Iteration 00040, Avg-Loss: 0.1643, Accuracy: 0.9962
Validation-epoch 22. Iteration 00019, Avg-Loss: 0.3937, Accuracy: 0.8895
Train-epoch 23. Iteration 00040, Avg-Loss: 0.1678, Accuracy: 0.9988
Validation-epoch 23. Iteration 00019, Avg-Loss: 0.3749, Accuracy: 0.8895
Train-epoch 24. Iteration 00040, Avg-Loss: 0.1629, Accuracy: 0.9912
Validation-epoch 24. Iteration 00019, Avg-Loss: 0.3842, Accuracy: 0.8816
326.58944272994995
