LR = 1e-2
Cat = 5
Epochs = 20
Model: Pretrained resnet18 with gradient, then averaging frames


Train-epoch 0. Iteration 00100, Avg-Loss: 3.4372, Accuracy: 0.1800
Train-epoch 0. Iteration 00200, Avg-Loss: 2.6521, Accuracy: 0.2050
Train-epoch 0. Iteration 00300, Avg-Loss: 2.3941, Accuracy: 0.2133
Train-epoch 0. Iteration 00400, Avg-Loss: 2.2316, Accuracy: 0.2050
Train-epoch 0. Iteration 00500, Avg-Loss: 2.1125, Accuracy: 0.2080
Validation-epoch 0. Iteration 00134, Avg-Loss: 1.7190, Accuracy: 0.1654
Train-epoch 1. Iteration 00100, Avg-Loss: 1.6423, Accuracy: 0.2200
Train-epoch 1. Iteration 00200, Avg-Loss: 1.6201, Accuracy: 0.2450
Train-epoch 1. Iteration 00300, Avg-Loss: 1.6135, Accuracy: 0.2700
Train-epoch 1. Iteration 00400, Avg-Loss: 1.6094, Accuracy: 0.2575
Train-epoch 1. Iteration 00500, Avg-Loss: 1.6044, Accuracy: 0.2480
Validation-epoch 1. Iteration 00134, Avg-Loss: 5.5990, Accuracy: 0.3534
Train-epoch 2. Iteration 00100, Avg-Loss: 1.5403, Accuracy: 0.2700
Train-epoch 2. Iteration 00200, Avg-Loss: 1.6206, Accuracy: 0.2400
Train-epoch 2. Iteration 00300, Avg-Loss: 1.6239, Accuracy: 0.2167
Train-epoch 2. Iteration 00400, Avg-Loss: 1.6112, Accuracy: 0.2275
Train-epoch 2. Iteration 00500, Avg-Loss: 1.6057, Accuracy: 0.2100
Validation-epoch 2. Iteration 00134, Avg-Loss: 1.6072, Accuracy: 0.2406
Train-epoch 3. Iteration 00100, Avg-Loss: 1.5454, Accuracy: 0.3200
Train-epoch 3. Iteration 00200, Avg-Loss: 1.5394, Accuracy: 0.2950
Train-epoch 3. Iteration 00300, Avg-Loss: 1.5295, Accuracy: 0.3200
Train-epoch 3. Iteration 00400, Avg-Loss: 1.5329, Accuracy: 0.3125
Train-epoch 3. Iteration 00500, Avg-Loss: 1.5379, Accuracy: 0.2960
Validation-epoch 3. Iteration 00134, Avg-Loss: 1.6673, Accuracy: 0.3684
Train-epoch 4. Iteration 00100, Avg-Loss: 1.4736, Accuracy: 0.3400
Train-epoch 4. Iteration 00200, Avg-Loss: 1.4348, Accuracy: 0.3650
Train-epoch 4. Iteration 00300, Avg-Loss: 1.4342, Accuracy: 0.3600
Train-epoch 4. Iteration 00400, Avg-Loss: 1.4324, Accuracy: 0.3650
Train-epoch 4. Iteration 00500, Avg-Loss: 1.4052, Accuracy: 0.3700
Validation-epoch 4. Iteration 00134, Avg-Loss: 1.7283, Accuracy: 0.2105
Train-epoch 5. Iteration 00100, Avg-Loss: 1.2317, Accuracy: 0.5100
Train-epoch 5. Iteration 00200, Avg-Loss: 1.2604, Accuracy: 0.4650
Train-epoch 5. Iteration 00300, Avg-Loss: 1.2442, Accuracy: 0.4733
Train-epoch 5. Iteration 00400, Avg-Loss: 1.2532, Accuracy: 0.4700
Train-epoch 5. Iteration 00500, Avg-Loss: 1.2322, Accuracy: 0.4820
Validation-epoch 5. Iteration 00134, Avg-Loss: 1.5540, Accuracy: 0.3609
Train-epoch 6. Iteration 00100, Avg-Loss: 1.1868, Accuracy: 0.4500
Train-epoch 6. Iteration 00200, Avg-Loss: 1.1606, Accuracy: 0.4700
Train-epoch 6. Iteration 00300, Avg-Loss: 1.1006, Accuracy: 0.5167
Train-epoch 6. Iteration 00400, Avg-Loss: 1.1166, Accuracy: 0.5125
Train-epoch 6. Iteration 00500, Avg-Loss: 1.0838, Accuracy: 0.5360
Validation-epoch 6. Iteration 00134, Avg-Loss: 1.4431, Accuracy: 0.2632
Train-epoch 7. Iteration 00100, Avg-Loss: 1.0972, Accuracy: 0.5300
Train-epoch 7. Iteration 00200, Avg-Loss: 1.0174, Accuracy: 0.5550
Train-epoch 7. Iteration 00300, Avg-Loss: 0.9870, Accuracy: 0.5567
Train-epoch 7. Iteration 00400, Avg-Loss: 0.9658, Accuracy: 0.5800
Train-epoch 7. Iteration 00500, Avg-Loss: 0.9982, Accuracy: 0.5680
Validation-epoch 7. Iteration 00134, Avg-Loss: 1.5765, Accuracy: 0.2331
Train-epoch 8. Iteration 00100, Avg-Loss: 0.7493, Accuracy: 0.6600
Train-epoch 8. Iteration 00200, Avg-Loss: 0.8733, Accuracy: 0.6400
Train-epoch 8. Iteration 00300, Avg-Loss: 0.8577, Accuracy: 0.6367
Train-epoch 8. Iteration 00400, Avg-Loss: 0.8706, Accuracy: 0.6425
Train-epoch 8. Iteration 00500, Avg-Loss: 0.8886, Accuracy: 0.6360
Validation-epoch 8. Iteration 00134, Avg-Loss: 2.2097, Accuracy: 0.3083
Train-epoch 9. Iteration 00100, Avg-Loss: 0.7270, Accuracy: 0.6600
Train-epoch 9. Iteration 00200, Avg-Loss: 0.8462, Accuracy: 0.6500
Train-epoch 9. Iteration 00300, Avg-Loss: 0.7881, Accuracy: 0.6633
Train-epoch 9. Iteration 00400, Avg-Loss: 0.7595, Accuracy: 0.6775
Train-epoch 9. Iteration 00500, Avg-Loss: 0.7685, Accuracy: 0.6820
Validation-epoch 9. Iteration 00134, Avg-Loss: 2.4874, Accuracy: 0.3233
Train-epoch 10. Iteration 00100, Avg-Loss: 0.6349, Accuracy: 0.7200
Train-epoch 10. Iteration 00200, Avg-Loss: 0.6545, Accuracy: 0.7150
Train-epoch 10. Iteration 00300, Avg-Loss: 0.6932, Accuracy: 0.7000
Train-epoch 10. Iteration 00400, Avg-Loss: 0.6815, Accuracy: 0.7025
Train-epoch 10. Iteration 00500, Avg-Loss: 0.6849, Accuracy: 0.6900
Validation-epoch 10. Iteration 00134, Avg-Loss: 2.6971, Accuracy: 0.2782
Train-epoch 11. Iteration 00100, Avg-Loss: 0.6537, Accuracy: 0.7600
Train-epoch 11. Iteration 00200, Avg-Loss: 0.6262, Accuracy: 0.7450
Train-epoch 11. Iteration 00300, Avg-Loss: 0.6249, Accuracy: 0.7367
Train-epoch 11. Iteration 00400, Avg-Loss: 0.5915, Accuracy: 0.7500
